beta_regime,rho,b,q,q_c,A_pilot,A_core,A_interaction,B_trajectory_pilot
balanced,0.85,24,3,1,0,0,0,0
balanced,0.85,24,3,3,0,0,0,0
balanced,0.85,24,3,6,0,0,0,0
balanced,0.85,24,3,12,0,1,0,0
balanced,0.85,24,3,24,0,0,0,0
balanced,0.85,24,6,1,0,0,0,0
balanced,0.85,24,6,3,0,0,0,0
balanced,0.85,24,6,6,0,0,0,0
balanced,0.85,24,6,12,0,0,0,0
balanced,0.85,24,6,24,0,0,0,0
balanced,0.85,24,12,1,0,0,0,0
balanced,0.85,24,12,3,0,0,0,0
balanced,0.85,24,12,6,0,0,0,0
balanced,0.85,24,12,12,0,0,0,0
balanced,0.85,24,12,24,0,0,0,0
balanced,0.95,0,1,1,1,0,0,0
balanced,0.95,0,1,3,0,0,0,0
balanced,0.95,0,1,6,0,0,0,0
balanced,0.95,0,1,12,0,0,0,0
balanced,0.95,0,1,24,1,0,0,0
balanced,0.95,0,3,1,0,0,0,0
balanced,0.95,0,3,3,0,0,0,0
balanced,0.95,0,3,6,0,0,0,0
balanced,0.95,0,3,12,0,1,0,0
balanced,0.95,0,3,24,0,0,0,0
balanced,0.95,0,6,1,0,0,0,0
balanced,0.95,0,6,3,0,0,0,0
balanced,0.95,0,6,6,0,0,0,0
balanced,0.95,0,6,12,0,0,0,0
balanced,0.95,0,6,24,0,0,0,0
balanced,0.95,0,12,1,1,0,0,0
balanced,0.95,0,12,3,0,0,0,0
balanced,0.95,0,12,6,0,0,0,0
balanced,0.95,0,12,12,0,0,0,0
balanced,0.95,0,12,24,1,0,0,0
balanced,0.95,2,1,1,0,0,0,0
balanced,0.95,2,1,3,0,0,0,0
balanced,0.95,2,1,6,0,0,0,0
balanced,0.95,2,1,12,0,0,0,0
balanced,0.95,2,1,24,0,0,0,0
balanced,0.95,2,3,1,0,0,0,0
balanced,0.95,2,3,3,0,0,0,0
balanced,0.95,2,3,6,0,0,0,0
balanced,0.95,2,3,12,0,1,0,0
balanced,0.95,2,3,24,0,0,0,0
balanced,0.95,2,6,1,0,0,0,0
balanced,0.95,2,6,3,0,0,0,0
balanced,0.95,2,6,6,0,0,0,0
balanced,0.95,2,6,12,0,0,0,0
balanced,0.95,2,6,24,0,0,0,0
balanced,0.95,2,12,1,0,0,0,0
balanced,0.95,2,12,3,0,0,0,0
balanced,0.95,2,12,6,0,0,0,0
balanced,0.95,2,12,12,0,0,0,0
balanced,0.95,2,12,24,0,0,0,0
balanced,0.95,4,1,1,0,0,0,0
balanced,0.95,4,1,3,0,0,0,0
balanced,0.95,4,1,6,0,0,0,0
balanced,0.95,4,1,12,0,0,0,0
