order,block,role,tokenizer,token_count
1,task_description,system,mas_cc_regex_v1_estimate,13
2,game_rules,system,mas_cc_regex_v1_estimate,52
3,private_state,user,mas_cc_regex_v1_estimate,23
4,recent_memory,user,mas_cc_regex_v1_estimate,55
5,current_interaction,user,mas_cc_regex_v1_estimate,24
6,decision_instruction,user,mas_cc_regex_v1_estimate,11
7,output_contract,user,mas_cc_regex_v1_estimate,22
total,all_blocks,,mas_cc_regex_v1_estimate,200
