model,n_expected,n_failed,coverage,n_valid,control_target_adoption_rate,truth_rate,stay_rate,switch_rate,switch_to_other_rate,n_aligned,n_adversarial,aligned_target_adoption_rate,adversarial_target_adoption_rate,adversarial_resistance_rate
GPT-4o,600,1,0.9983333333333333,599,0.4557595993322204,0.7145242070116862,0.35225375626043404,0.6477462437395659,0.19198664440734559,300,299,0.7566666666666667,0.15384615384615385,0.8461538461538461
GPT-5 Mini,600,0,1.0,600,0.49,0.6983333333333334,0.31333333333333335,0.6866666666666666,0.19666666666666666,300,300,0.75,0.23,0.77
GPT-OSS 120B,600,0,1.0,600,0.52,0.75,0.29333333333333333,0.7066666666666667,0.18666666666666668,300,300,0.8266666666666667,0.21333333333333335,0.7866666666666666
Gemma4 31B,600,16,0.9733333333333334,584,0.5393835616438356,0.7328767123287672,0.3116438356164384,0.6883561643835616,0.14897260273972604,296,288,0.8277027027027027,0.24305555555555555,0.7569444444444444
Kimi K2.6,600,355,0.4083333333333333,245,0.5265306122448979,0.9346938775510204,0.3142857142857143,0.6857142857142857,0.15918367346938775,134,111,0.9328358208955224,0.036036036036036036,0.963963963963964
Qwen3 30B A3B,600,2,0.9966666666666667,598,0.36789297658862874,0.5735785953177257,0.49498327759197325,0.5050167224080268,0.13712374581939799,298,300,0.5604026845637584,0.17666666666666667,0.8233333333333334
