bucket,model_a,model_b,delta_a_minus_b,ci_low,ci_high,matched_n
bucket_04_negative_reputation,GPT-5 Mini,Kimi K2.6,0.023809523809523808,0.0,0.08333333333333333,42
bucket_04_negative_reputation,GPT-5 Mini,Qwen3 30B A3B,0.18,0.08,0.27,100
bucket_04_negative_reputation,GPT-OSS 120B,Gemma4 31B,-0.010309278350515464,-0.13131313131313133,0.11471874999999926,97
bucket_04_negative_reputation,GPT-OSS 120B,Kimi K2.6,0.023809523809523808,0.0,0.09375,42
bucket_04_negative_reputation,GPT-OSS 120B,Qwen3 30B A3B,0.2,0.11,0.29,100
bucket_04_negative_reputation,Gemma4 31B,Kimi K2.6,0.0,0.0,0.0,41
bucket_04_negative_reputation,Gemma4 31B,Qwen3 30B A3B,0.21649484536082475,0.10635498320268758,0.31184475806451606,97
bucket_04_negative_reputation,Kimi K2.6,Qwen3 30B A3B,0.14285714285714285,-0.030303030303030304,0.2653061224489796,42
bucket_05_social_reputation,GPT-4o,GPT-5 Mini,-0.1111111111111111,-0.1958762886597938,-0.02,99
bucket_05_social_reputation,GPT-4o,GPT-OSS 120B,-0.10101010101010101,-0.16161616161616163,-0.04,99
bucket_05_social_reputation,GPT-4o,Gemma4 31B,-0.11458333333333333,-0.19355661619486503,-0.0340719696969698,96
bucket_05_social_reputation,GPT-4o,Kimi K2.6,-0.02631578947368421,-0.09090909090909091,0.0,38
bucket_05_social_reputation,GPT-4o,Qwen3 30B A3B,0.061224489795918366,-0.01020408163265306,0.125,98
bucket_05_social_reputation,GPT-5 Mini,GPT-OSS 120B,0.01,-0.06,0.08,100
bucket_05_social_reputation,GPT-5 Mini,Gemma4 31B,0.0,-0.06,0.0425531914893617,97
bucket_05_social_reputation,GPT-5 Mini,Kimi K2.6,0.02631578947368421,0.0,0.10714285714285714,38
bucket_05_social_reputation,GPT-5 Mini,Qwen3 30B A3B,0.16161616161616163,0.07,0.25006313131313096,99
bucket_05_social_reputation,GPT-OSS 120B,Gemma4 31B,-0.010309278350515464,-0.07216494845360824,0.05319148936170213,97
bucket_05_social_reputation,GPT-OSS 120B,Kimi K2.6,0.0,0.0,0.0,38
bucket_05_social_reputation,GPT-OSS 120B,Qwen3 30B A3B,0.15151515151515152,0.0707070707070707,0.24242424242424243,99
bucket_05_social_reputation,Gemma4 31B,Kimi K2.6,0.0,0.0,0.0,38
bucket_05_social_reputation,Gemma4 31B,Qwen3 30B A3B,0.16666666666666666,0.08418859649122806,0.25,96
bucket_05_social_reputation,Kimi K2.6,Qwen3 30B A3B,0.05405405405405406,-0.047619047619047616,0.1724137931034483,37
bucket_06_strategic_uncertainty,GPT-4o,GPT-5 Mini,-0.05,-0.12,0.03,100
bucket_06_strategic_uncertainty,GPT-4o,GPT-OSS 120B,-0.09,-0.15,-0.03,100
bucket_06_strategic_uncertainty,GPT-4o,Gemma4 31B,-0.07142857142857142,-0.14285714285714285,-0.01,98
bucket_06_strategic_uncertainty,GPT-4o,Kimi K2.6,0.029411764705882353,0.0,0.10818318318318278,34
bucket_06_strategic_uncertainty,GPT-4o,Qwen3 30B A3B,0.07,-0.02,0.14,100
bucket_06_strategic_uncertainty,GPT-5 Mini,GPT-OSS 120B,-0.04,-0.08,0.0,100
bucket_06_strategic_uncertainty,GPT-5 Mini,Gemma4 31B,-0.02040816326530612,-0.09375,0.05102040816326531,98
bucket_06_strategic_uncertainty,GPT-5 Mini,Kimi K2.6,0.0,0.0,0.0,34
bucket_06_strategic_uncertainty,GPT-5 Mini,Qwen3 30B A3B,0.12,0.02,0.21,100
bucket_06_strategic_uncertainty,GPT-OSS 120B,Gemma4 31B,0.02040816326530612,-0.04081632653061224,0.09,98
bucket_06_strategic_uncertainty,GPT-OSS 120B,Kimi K2.6,0.0,0.0,0.0,34
bucket_06_strategic_uncertainty,GPT-OSS 120B,Qwen3 30B A3B,0.16,0.08,0.23,100
bucket_06_strategic_uncertainty,Gemma4 31B,Kimi K2.6,0.029411764705882353,0.0,0.10354064039408815,34
bucket_06_strategic_uncertainty,Gemma4 31B,Qwen3 30B A3B,0.14285714285714285,0.05,0.22448979591836735,98
bucket_06_strategic_uncertainty,Kimi K2.6,Qwen3 30B A3B,0.029411764705882353,-0.15789473684210525,0.16217787554996851,34
