model,bucket_a,bucket_b,delta_a_minus_b,ci_low,ci_high,matched_n
Gemma4 31B,bucket_02_persistent_identity,bucket_04_negative_reputation,0.15463917525773196,0.06120902906617192,0.26001041666666663,97
Gemma4 31B,bucket_02_persistent_identity,bucket_05_social_reputation,-0.05154639175257732,-0.09892857142857144,-0.010638297872340425,97
Gemma4 31B,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,0.02040816326530612,-0.030612244897959183,0.08,98
Gemma4 31B,bucket_03_positive_reputation,bucket_04_negative_reputation,0.2736842105263158,0.16837719298245613,0.38,95
Gemma4 31B,bucket_03_positive_reputation,bucket_05_social_reputation,0.061855670103092786,0.0,0.13402061855670103,97
Gemma4 31B,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.13402061855670103,0.06812562437562437,0.2,97
Gemma4 31B,bucket_04_negative_reputation,bucket_05_social_reputation,-0.21052631578947367,-0.33,-0.10204081632653061,95
Gemma4 31B,bucket_04_negative_reputation,bucket_06_strategic_uncertainty,-0.1368421052631579,-0.21,-0.07608695652173914,95
Gemma4 31B,bucket_05_social_reputation,bucket_06_strategic_uncertainty,0.07216494845360824,0.010638297872340425,0.15463917525773196,97
Kimi K2.6,bucket_01_anonymous,bucket_02_persistent_identity,0.0,0.0,0.0,34
Kimi K2.6,bucket_01_anonymous,bucket_03_positive_reputation,0.0,0.0,0.0,33
Kimi K2.6,bucket_01_anonymous,bucket_04_negative_reputation,0.0,0.0,0.0,32
Kimi K2.6,bucket_01_anonymous,bucket_05_social_reputation,0.0,0.0,0.0,30
Kimi K2.6,bucket_01_anonymous,bucket_06_strategic_uncertainty,0.034482758620689655,0.0,0.14285714285714285,29
Kimi K2.6,bucket_02_persistent_identity,bucket_03_positive_reputation,0.0,0.0,0.0,37
Kimi K2.6,bucket_02_persistent_identity,bucket_04_negative_reputation,0.0,0.0,0.0,34
Kimi K2.6,bucket_02_persistent_identity,bucket_05_social_reputation,0.0,0.0,0.0,34
Kimi K2.6,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,0.0,0.0,0.0,31
Kimi K2.6,bucket_03_positive_reputation,bucket_04_negative_reputation,0.03225806451612903,0.0,0.1111111111111111,31
Kimi K2.6,bucket_03_positive_reputation,bucket_05_social_reputation,0.0,0.0,0.0,34
Kimi K2.6,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.03225806451612903,0.0,0.11538461538461539,31
Kimi K2.6,bucket_04_negative_reputation,bucket_05_social_reputation,0.0,0.0,0.0,29
Kimi K2.6,bucket_04_negative_reputation,bucket_06_strategic_uncertainty,0.0,0.0,0.0,30
Kimi K2.6,bucket_05_social_reputation,bucket_06_strategic_uncertainty,0.0,0.0,0.0,29
Qwen3 30B A3B,bucket_01_anonymous,bucket_02_persistent_identity,-0.03,-0.1,0.02,100
Qwen3 30B A3B,bucket_01_anonymous,bucket_03_positive_reputation,-0.2828282828282828,-0.36363636363636365,-0.1919191919191919,99
Qwen3 30B A3B,bucket_01_anonymous,bucket_04_negative_reputation,0.16,0.13,0.19,100
Qwen3 30B A3B,bucket_01_anonymous,bucket_05_social_reputation,-0.09090909090909091,-0.16,-0.04,99
Qwen3 30B A3B,bucket_01_anonymous,bucket_06_strategic_uncertainty,-0.05,-0.09,-0.01,100
Qwen3 30B A3B,bucket_02_persistent_identity,bucket_03_positive_reputation,-0.25252525252525254,-0.336734693877551,-0.16161616161616163,99
Qwen3 30B A3B,bucket_02_persistent_identity,bucket_04_negative_reputation,0.19,0.12,0.27,100
Qwen3 30B A3B,bucket_02_persistent_identity,bucket_05_social_reputation,-0.06060606060606061,-0.10101010101010101,-0.020202020202020204,99
Qwen3 30B A3B,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,-0.02,-0.08,0.05,100
Qwen3 30B A3B,bucket_03_positive_reputation,bucket_04_negative_reputation,0.43434343434343436,0.3499342105263158,0.5102040816326531,99
Qwen3 30B A3B,bucket_03_positive_reputation,bucket_05_social_reputation,0.1836734693877551,0.13,0.24468085106382978,98
Qwen3 30B A3B,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.23232323232323232,0.15,0.31313131313131315,99
Qwen3 30B A3B,bucket_04_negative_reputation,bucket_05_social_reputation,-0.25252525252525254,-0.3200808080808081,-0.18556701030927836,99
Qwen3 30B A3B,bucket_04_negative_reputation,bucket_06_strategic_uncertainty,-0.21,-0.25,-0.17,100
Qwen3 30B A3B,bucket_05_social_reputation,bucket_06_strategic_uncertainty,0.04040404040404041,-0.01,0.09090909090909091,99
